time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-14 18:51:53,15.49,59.41,1000.4,1.5,0,8,8
2023-03-14 18:53:33,15.77,59.16,1000.58,1.5,0,6,16
2023-03-14 18:54:39,16.14,60.53,1000.54,1.5,0,6,6
2023-03-14 19:00:09,16.21,58.8,1000.63,1.5,0,6,6
2023-03-14 19:02:48,17.41,55.46,1000.56,1.5,0,6,6
2023-03-14 19:06:37,18.16,53.52,1000.68,1.5,0,4,18
2023-03-14 19:08:39,17.51,55.44,1000.69,1.5,0,10,10
2023-03-14 19:10:51,17.19,55.92,1000.6,1.5,0,6,6
2023-03-14 19:11:55,17.62,55.21,1000.65,1.5,0,8,20
2023-03-14 19:12:50,17.59,54.94,1000.64,1.5,2,8,8
2023-03-14 19:13:58,17.49,55.27,1000.64,1.5,0,10,18
2023-03-14 19:17:07,16.89,57.25,1000.63,1.5,0,6,6
2023-03-14 19:19:29,16.75,57.56,1000.64,1.5,0,10,10
2023-03-14 19:20:50,16.82,57.49,1000.65,1.5,0,4,4
2023-03-14 19:22:11,17.33,56.22,1000.68,1.5,0,6,6
2023-03-14 19:32:08,16.12,59.54,1000.59,1.5,0,8,8
2023-03-14 19:42:08,15.88,60.33,1000.62,1.5,0,6,6
2023-03-14 19:52:08,15.8,60.77,1000.69,1.5,0,6,6
2023-03-14 20:02:08,15.84,61.08,1000.77,1.5,2,12,12
2023-03-14 20:03:22,16.09,60.63,1000.75,1.5,0,8,8
