time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-12 09:30:51,20.62,53.88,995.89,1.5,4,18,42
2023-03-12 11:03:40,21.39,52.27,995.29,1.5,0,12,12
2023-03-12 11:04:18,21.37,52.52,995.3,1.5,2,10,10
2023-03-12 11:06:06,21.72,51.43,995.29,1.5,0,8,44
2023-03-12 11:07:25,22.01,50.91,995.21,1.5,0,6,14
2023-03-12 11:08:57,22.22,50.33,995.22,1.5,2,10,10
2023-03-12 11:10:24,22.33,50.01,995.15,1.5,0,6,14
2023-03-12 11:10:49,21.84,49.84,994.33,1.5,2,12,40
2023-03-12 11:16:49,22.7,49.12,995.15,1.5,2,12,22
2023-03-12 11:18:37,22.7,49.08,995.1,1.5,0,26,26
2023-03-12 11:25:32,22.83,48.81,994.98,1.5,0,6,6
2023-03-12 11:28:46,22.79,49.85,994.97,1.51,6,26,34
2023-03-12 11:31:23,22.97,48.51,994.97,1.5,0,8,16
2023-03-12 11:35:58,22.88,48.59,995.0,1.5,0,8,20
2023-03-12 11:38:54,22.97,48.25,995.14,1.5,4,18,18
2023-03-12 11:42:29,22.93,48.68,995.03,1.5,2,14,14
2023-03-12 11:49:25,22.92,49.66,995.18,1.5,0,10,10
2023-03-12 11:49:51,22.71,49.06,995.07,1.5,2,8,8
2023-03-12 11:51:48,22.14,50.53,995.14,1.5,0,14,14
2023-03-12 11:53:24,22.19,50.47,995.1,1.5,0,8,8
2023-03-12 11:54:34,22.36,49.94,995.13,1.5,0,12,12
2023-03-12 12:13:01,23.22,47.3,994.91,1.5,0,6,6
2023-03-12 12:15:08,23.33,47.0,994.9,1.5,6,14,22
2023-03-12 12:19:30,23.45,47.1,994.87,1.5,0,10,10
2023-03-12 12:28:37,20.79,53.67,994.92,1.5,0,6,6
2023-03-12 14:48:19,18.87,59.36,993.55,1.5,0,6,6
2023-03-12 14:57:56,20.53,54.75,993.4,1.5,0,10,10
2023-03-12 14:59:09,20.88,53.67,993.4,1.5,0,6,6
2023-03-12 15:01:04,21.42,52.63,993.32,1.5,10,20,34
2023-03-12 15:03:35,21.87,51.27,993.23,1.5,2,10,10
2023-03-12 15:10:10,22.31,49.68,993.04,1.5,0,6,6
2023-03-12 15:11:27,22.39,49.64,992.97,1.5,0,6,6
2023-03-12 15:12:42,22.49,49.42,992.95,1.5,2,8,16
2023-03-12 15:13:33,22.5,49.37,992.97,1.5,0,4,4
2023-03-12 15:16:07,22.53,49.1,992.94,1.5,0,6,6
2023-03-12 15:25:18,22.68,48.82,992.89,1.5,0,8,8
2023-03-12 15:26:04,22.66,48.74,992.85,1.5,0,6,6
2023-03-12 15:28:49,22.23,49.75,992.81,1.5,0,8,22
2023-03-12 15:35:27,21.72,51.0,992.7,1.5,2,8,8
2023-03-12 15:36:59,21.67,51.15,992.77,1.5,0,10,22
2023-03-12 15:37:19,21.68,51.24,992.74,1.5,0,6,6
2023-03-12 15:38:29,21.66,51.28,992.68,1.5,0,8,8
2023-03-12 15:40:18,21.65,51.59,992.64,1.5,0,8,8
2023-03-12 15:40:32,21.64,51.43,992.66,1.5,0,12,12
2023-03-12 15:44:25,21.26,52.5,992.62,1.5,0,8,8
2023-03-12 15:48:59,21.48,52.19,992.54,1.5,0,4,4
