time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-12 15:49:46,21.54,51.95,992.52,1.5,6,16,24
2023-03-12 15:50:20,21.52,52.07,992.47,1.5,0,8,18
2023-03-12 15:51:27,21.62,52.88,992.43,1.5,2,12,12
2023-03-12 15:52:12,21.53,54.11,992.38,1.5,0,8,16
2023-03-12 15:53:23,21.49,53.2,992.42,1.5,0,6,6
2023-03-12 16:02:46,18.77,62.36,992.19,1.5,0,8,8
2023-03-12 16:04:27,18.7,62.67,992.17,1.5,0,8,16
2023-03-12 16:05:51,18.94,63.56,992.1,1.5,0,6,18
2023-03-12 16:07:31,20.05,60.65,991.97,1.5,2,8,8
2023-03-12 16:09:24,20.26,59.0,991.95,1.5,0,8,8
2023-03-12 16:19:08,18.13,64.56,991.8,1.5,0,6,6
2023-03-12 16:21:40,19.5,61.37,991.76,1.5,0,8,8
2023-03-12 16:22:45,19.31,62.4,991.75,1.5,0,4,14
2023-03-12 16:23:03,19.3,61.42,991.81,1.5,0,12,12
2023-03-12 16:24:04,19.23,61.33,991.76,1.5,0,12,12
2023-03-12 16:34:08,18.1,65.51,991.5,1.5,0,6,6
2023-03-12 16:38:04,18.58,60.16,991.71,1.5,0,4,4
2023-03-12 16:48:08,17.84,60.39,991.49,1.5,0,16,16
2023-03-12 16:58:08,17.37,62.75,991.23,1.5,0,16,16
2023-03-12 17:08:08,17.13,67.27,991.1,1.5,0,12,12
2023-03-12 17:18:08,14.89,68.49,991.02,1.5,4,12,28
2023-03-12 17:28:08,14.95,75.07,990.85,1.5,8,20,20
2023-03-12 17:35:47,15.99,79.47,990.6,1.5,0,6,20
2023-03-12 17:46:08,16.55,72.39,990.35,1.5,4,12,12
2023-03-12 17:56:08,18.33,67.22,990.26,1.5,4,12,12
2023-03-12 18:06:08,17.71,68.2,989.92,1.5,2,10,10
2023-03-12 18:16:08,17.56,68.09,989.7,1.5,0,8,8
2023-03-12 18:26:08,17.43,67.97,989.43,1.5,0,8,8
2023-03-12 18:36:08,17.34,68.38,989.0,1.5,0,6,6
2023-03-12 18:43:06,17.42,72.36,988.88,1.51,0,6,14
2023-03-12 18:53:08,17.47,67.5,988.58,1.5,0,14,14
2023-03-12 19:03:08,17.32,67.5,988.49,1.5,0,12,12
2023-03-12 19:13:08,17.16,67.86,988.31,1.5,0,8,8
2023-03-12 19:23:08,17.01,67.99,988.03,1.5,0,10,10
2023-03-12 19:33:08,16.91,68.62,987.93,1.5,0,6,6
2023-03-12 19:43:08,16.83,68.49,987.89,1.5,0,6,6
2023-03-12 19:53:08,16.74,68.84,987.36,1.5,2,10,10
2023-03-12 19:53:43,17.16,71.62,987.06,1.5,0,8,8
