time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-13 19:37:53,16.96,72.19,973.85,1.5,28,40,40
2023-03-13 19:41:38,19.42,63.05,973.71,1.5,28,42,42
2023-03-13 19:44:56,20.53,59.23,973.77,1.5,38,48,66
2023-03-13 19:50:55,21.53,56.09,973.79,1.5,20,30,30
2023-03-13 19:53:02,21.69,55.41,973.86,1.5,22,32,32
2023-03-13 19:54:02,21.75,55.28,973.88,1.5,22,38,50
2023-03-13 19:54:45,21.84,55.15,973.89,1.5,24,38,38
2023-03-13 19:55:30,21.83,55.14,973.91,1.5,30,48,48
2023-03-13 19:56:06,22.0,55.5,973.92,1.5,18,30,42
2023-03-13 19:56:38,22.08,54.57,973.93,1.5,32,56,56
2023-03-13 20:00:39,22.15,54.15,973.96,1.5,18,28,28
2023-03-13 20:05:07,22.17,54.25,973.92,1.5,18,36,44
2023-03-13 20:06:12,22.2,53.95,973.95,1.5,20,50,50
2023-03-13 20:06:48,22.21,54.09,973.93,1.5,20,38,38
2023-03-13 20:09:39,22.25,54.0,973.9,1.5,20,28,28
2023-03-13 20:11:37,22.21,53.97,973.92,1.5,16,24,32
2023-03-13 20:15:18,22.28,53.88,973.93,1.5,12,22,22
2023-03-13 20:16:19,22.35,53.68,973.97,1.5,18,30,30
2023-03-13 20:19:32,22.27,53.69,973.97,1.5,20,32,32
