time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-11 14:43:03,22.74,44.51,995.72,1.5,0,6,6
2023-03-11 14:54:44,20.89,51.2,995.62,1.5,4,12,12
2023-03-11 14:55:48,20.86,51.48,995.59,1.5,2,12,12
2023-03-11 14:58:29,21.15,49.46,995.52,1.5,4,10,32
2023-03-11 14:59:20,21.18,49.05,995.52,1.5,2,8,16
2023-03-11 15:07:13,21.39,48.94,995.38,1.5,0,8,8
2023-03-11 15:08:14,21.31,48.7,995.38,1.5,2,12,12
2023-03-11 15:08:44,21.26,48.66,995.31,1.5,0,10,10
2023-03-11 15:09:22,21.21,48.81,995.36,1.5,2,12,12
2023-03-11 15:13:37,21.05,49.18,995.44,1.5,2,6,6
2023-03-11 15:13:58,21.08,49.45,995.45,1.5,4,10,10
2023-03-11 15:14:41,20.97,49.24,995.45,1.5,4,16,16
2023-03-11 15:18:34,21.47,48.35,995.52,1.5,4,12,24
2023-03-11 15:19:43,21.63,47.94,995.57,1.5,0,8,8
2023-03-11 15:24:48,21.21,48.62,995.56,1.5,2,8,8
2023-03-11 15:28:32,20.98,49.02,995.49,1.5,2,8,8
2023-03-11 15:29:47,21.08,48.85,995.5,1.5,0,6,6
2023-03-11 15:31:45,21.04,48.85,995.48,1.5,2,16,16
2023-03-11 15:37:28,20.77,49.32,995.6,1.5,6,14,26
2023-03-11 15:46:45,20.64,49.5,995.69,1.5,2,8,8
2023-03-11 15:49:44,20.72,49.4,995.59,1.5,2,8,8
2023-03-11 15:53:49,20.93,49.26,995.45,1.5,2,12,12
2023-03-11 16:01:51,21.85,49.48,995.48,1.5,0,6,6
2023-03-11 16:04:16,21.56,48.27,995.6,1.5,2,10,10
2023-03-11 16:07:34,21.67,48.0,995.49,1.5,0,6,6
2023-03-11 16:10:26,22.33,46.55,995.35,1.5,0,6,6
2023-03-11 16:14:37,22.85,45.39,995.39,1.5,2,8,8
2023-03-11 16:16:13,23.02,45.79,995.4,1.5,0,8,16
2023-03-11 16:16:34,23.05,45.68,995.37,1.5,0,6,6
2023-03-11 16:24:29,23.68,45.51,995.21,1.5,0,6,6
2023-03-11 16:35:32,24.11,45.16,995.18,1.5,0,8,8
2023-03-11 16:56:56,23.29,46.13,995.25,1.5,2,8,8
2023-03-11 16:57:37,23.48,46.16,995.28,1.5,2,16,16
2023-03-11 17:59:59,23.79,46.35,994.91,1.5,4,14,14
2023-03-11 18:01:24,23.4,47.65,994.91,1.5,4,14,14
2023-03-11 18:02:14,23.22,48.55,994.95,1.5,4,14,32
2023-03-11 18:05:37,22.36,54.77,994.96,1.5,4,10,10
2023-03-11 18:12:56,22.27,50.89,994.81,1.5,2,10,10
2023-03-11 18:15:31,21.68,53.32,994.86,1.5,2,14,14
2023-03-11 18:16:50,21.88,52.63,994.87,1.5,4,14,14
2023-03-11 18:17:40,21.96,52.09,994.88,1.5,12,28,36
2023-03-11 18:18:52,22.04,51.92,994.85,1.5,2,18,18
2023-03-11 18:22:22,22.1,51.84,994.88,1.5,2,10,10
2023-03-11 18:23:12,22.13,51.64,994.89,1.5,2,10,10
2023-03-11 18:28:54,22.19,51.35,994.75,1.5,2,8,8
2023-03-11 18:30:27,22.41,51.03,994.76,1.5,0,6,6
2023-03-11 18:43:11,24.03,47.02,994.82,1.5,0,10,10
2023-03-11 18:43:43,24.06,46.83,994.82,1.5,2,10,10
2023-03-11 18:44:20,24.0,46.85,994.75,1.5,2,10,10
2023-03-11 18:45:28,24.1,46.74,994.83,1.5,2,8,8
2023-03-11 18:47:28,24.08,46.82,994.76,1.5,6,26,26
2023-03-11 18:48:37,24.12,46.62,994.7,1.5,2,8,8
2023-03-11 18:54:27,24.2,46.66,994.57,1.5,2,8,8
2023-03-11 18:55:13,24.22,46.72,994.53,1.5,2,12,12
2023-03-11 18:56:14,24.31,46.51,994.58,1.5,0,6,6
2023-03-11 18:56:53,24.35,46.29,994.58,1.5,4,12,12
2023-03-11 19:05:47,24.29,46.16,994.67,1.5,0,6,14
2023-03-11 19:06:13,24.16,46.27,994.67,1.5,0,8,8
2023-03-11 19:08:56,23.66,47.43,994.65,1.5,4,12,12
2023-03-11 19:09:50,23.53,47.82,994.6,1.5,2,8,16
2023-03-11 19:12:48,23.1,48.59,994.62,1.5,2,14,14
2023-03-11 19:13:26,23.18,48.57,994.63,1.5,2,10,10
2023-03-11 19:15:47,23.54,47.75,994.57,1.5,2,18,18
2023-03-11 20:49:47,17.7,63.56,994.13,1.5,4,12,12
