time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-16 18:45:15,19.58,59.76,990.54,1.5,60,96,108
2023-03-16 18:47:33,19.95,58.87,990.55,1.5,66,118,118
2023-03-16 18:50:30,20.59,57.43,990.54,1.5,56,96,120
2023-03-16 18:51:45,20.7,56.74,990.48,1.5,60,118,126
2023-03-16 18:53:06,20.87,56.4,990.49,1.5,60,114,126
2023-03-16 18:54:27,20.99,55.88,990.49,1.5,58,104,104
2023-03-16 18:55:48,21.04,55.69,990.5,1.5,58,92,96
2023-03-16 18:57:01,21.07,55.43,990.49,1.5,42,72,80
2023-03-16 18:58:37,21.13,55.26,990.48,1.5,54,78,86
2023-03-16 18:59:49,21.23,55.03,990.48,1.5,50,82,106
2023-03-16 19:02:13,21.24,54.87,990.44,1.5,46,84,84
2023-03-16 19:04:48,21.22,54.87,990.53,1.5,36,72,80
2023-03-16 19:28:39,21.87,52.19,990.5,1.5,40,62,62
2023-03-16 19:56:50,22.69,50.32,990.51,1.5,42,70,70
2023-03-16 19:58:59,22.76,50.17,990.52,1.5,30,52,52
