time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-19 07:51:58,17.87,68.25,1003.9,1.5,0,6,16
2023-03-19 07:52:51,18.35,66.16,1003.87,1.5,2,8,8
2023-03-19 07:55:24,19.33,62.93,1003.9,1.5,2,8,8
2023-03-19 07:57:01,19.67,61.74,1003.95,1.5,0,8,8
2023-03-19 07:59:04,19.87,60.87,1003.98,1.5,0,8,8
2023-03-19 08:11:32,19.69,58.3,1004.14,1.5,0,6,6
2023-03-19 11:21:04,19.64,61.07,1005.65,1.5,2,10,10
2023-03-19 11:21:59,19.99,59.99,1005.68,1.5,0,6,6
2023-03-19 11:22:15,20.14,59.81,1005.68,1.5,0,12,20
2023-03-19 11:22:43,20.3,59.35,1005.7,1.5,0,6,6
2023-03-19 11:33:30,21.95,54.84,1005.67,1.5,0,20,34
2023-03-19 11:37:11,22.48,53.68,1005.76,1.5,0,10,28
2023-03-19 11:38:56,22.62,53.37,1005.83,1.5,2,12,12
2023-03-19 11:46:00,22.71,53.04,1005.78,1.5,0,6,6
2023-03-19 11:50:04,22.94,52.9,1005.79,1.5,0,6,6
2023-03-19 11:50:51,23.01,52.69,1005.76,1.5,0,4,4
2023-03-19 11:53:08,22.9,52.93,1005.71,1.5,0,6,6
2023-03-19 12:38:38,24.93,49.86,1005.55,1.5,0,6,6
2023-03-19 12:40:21,25.14,52.35,1005.58,1.5,0,6,6
2023-03-19 12:46:14,27.79,44.7,1005.64,1.5,0,8,18
2023-03-19 12:56:12,25.03,50.79,1005.61,1.5,0,10,10
2023-03-19 13:00:24,23.0,55.98,1005.57,1.5,0,8,8
2023-03-19 13:03:41,22.55,57.01,1005.57,1.5,0,6,14
2023-03-19 13:04:24,22.69,56.85,1005.51,1.5,0,6,6
2023-03-19 13:14:08,21.18,59.05,1005.65,1.5,4,10,10
2023-03-19 13:24:09,20.42,60.31,1005.62,1.5,6,18,18
2023-03-19 13:27:31,20.14,59.34,1005.94,1.5,26,32,32
2023-03-19 13:31:38,20.42,55.81,1005.86,1.52,20,30,30
2023-03-19 13:41:08,20.07,55.27,1005.99,1.5,4,12,12
2023-03-19 13:51:09,19.47,61.84,1005.67,1.5,4,10,10
2023-03-19 13:54:51,21.35,57.12,1005.59,1.5,8,14,14
2023-03-19 13:59:05,20.36,59.26,1005.53,1.5,4,10,10
2023-03-19 14:00:51,20.33,58.97,1005.66,1.5,2,10,10
2023-03-19 14:11:08,19.39,59.54,1005.67,1.5,4,12,12
2023-03-19 14:21:08,19.72,60.05,1005.64,1.5,2,8,16
2023-03-19 14:26:26,21.6,55.68,1005.63,1.5,2,8,8
